Localisation,COEFF F212,PROFIL,Nom,Missions en cours,Competences,Date Demarrage,Date de fin,Taux occupation,Stream BT,combined,n_tokens
Tours,150,Confirmé,Summer Blankenship,Duncan Inc,Mobile Development,2023-07-16,2025-04-13,54%,SSIS,"Localisation: Tours, Nom: Summer Blankenship, Compétences: Mobile Development, Mission en cours: Duncan Inc, Date de début de mission: 2023-07-16, Date de fin de mission: 2025-04-13, Taux d'occupation: 54%",63
Paris,105,Confirmé,Kayla Morrow,Hill and Sons,Mobile Development,2022-09-20,2026-03-06,41%,ODI,"Localisation: Paris, Nom: Kayla Morrow, Compétences: Mobile Development, Mission en cours: Hill and Sons, Date de début de mission: 2022-09-20, Date de fin de mission: 2026-03-06, Taux d'occupation: 41%",63
Mtp,150,Junior,Eric Rogers,"Stevenson, Rodriguez and Chan",Cloud Computing,2023-09-11,2025-05-19,81%,DSIA,"Localisation: Mtp, Nom: Eric Rogers, Compétences: Cloud Computing, Mission en cours: Stevenson, Rodriguez and Chan, Date de début de mission: 2023-09-11, Date de fin de mission: 2025-05-19, Taux d'occupation: 81%",65
Tours,115,Confirmé,David Murphy,Johnson-Dickson,Software Testing,2022-10-09,2025-12-12,77%,DSIA,"Localisation: Tours, Nom: David Murphy, Compétences: Software Testing, Mission en cours: Johnson-Dickson, Date de début de mission: 2022-10-09, Date de fin de mission: 2025-12-12, Taux d'occupation: 77%",63
Paris,115,Junior,Sherry Pearson,Alexander Inc,DevOps,2022-07-06,2025-10-27,31%,SSIS,"Localisation: Paris, Nom: Sherry Pearson, Compétences: DevOps, Mission en cours: Alexander Inc, Date de début de mission: 2022-07-06, Date de fin de mission: 2025-10-27, Taux d'occupation: 31%",62
Tours,150,Junior,Dale Baker,Moreno LLC,Web Development,2023-05-23,2024-06-18,48%,DSIA,"Localisation: Tours, Nom: Dale Baker, Compétences: Web Development, Mission en cours: Moreno LLC, Date de début de mission: 2023-05-23, Date de fin de mission: 2024-06-18, Taux d'occupation: 48%",61
Paris,170,Junior,George Anderson,Torres Group,Web Development,2023-12-12,2025-09-29,71%,DSIA,"Localisation: Paris, Nom: George Anderson, Compétences: Web Development, Mission en cours: Torres Group, Date de début de mission: 2023-12-12, Date de fin de mission: 2025-09-29, Taux d'occupation: 71%",61
Tours,115,Confirmé,David Case,Riley Ltd,IT Support,2022-08-13,2025-10-06,65%,TALEND,"Localisation: Tours, Nom: David Case, Compétences: IT Support, Mission en cours: Riley Ltd, Date de début de mission: 2022-08-13, Date de fin de mission: 2025-10-06, Taux d'occupation: 65%",61
Paris,100,Junior,Angelica Christensen,Calderon-Scott,Business Analysis,2023-12-18,2024-08-11,76%,MSBI,"Localisation: Paris, Nom: Angelica Christensen, Compétences: Business Analysis, Mission en cours: Calderon-Scott, Date de début de mission: 2023-12-18, Date de fin de mission: 2024-08-11, Taux d'occupation: 76%",65
Tours,100,Confirmé,Laura Wang,Simpson-Sanchez,Machine Learning,2024-05-29,2024-09-21,47%,MSBI,"Localisation: Tours, Nom: Laura Wang, Compétences: Machine Learning, Mission en cours: Simpson-Sanchez, Date de début de mission: 2024-05-29, Date de fin de mission: 2024-09-21, Taux d'occupation: 47%",63
Tours,115,Expert,Janice Griffith,Leonard Inc,Machine Learning,2022-10-18,2025-10-20,45%,TALEND,"Localisation: Tours, Nom: Janice Griffith, Compétences: Machine Learning, Mission en cours: Leonard Inc, Date de début de mission: 2022-10-18, Date de fin de mission: 2025-10-20, Taux d'occupation: 45%",62
Paris,100,Confirmé,Matthew Black,"Lambert, Williams and Haas",Web Development,2022-12-06,2025-07-11,81%,TALEND,"Localisation: Paris, Nom: Matthew Black, Compétences: Web Development, Mission en cours: Lambert, Williams and Haas, Date de début de mission: 2022-12-06, Date de fin de mission: 2025-07-11, Taux d'occupation: 81%",65
Tours,105,Expert,Michael Davis,Owens-Hall,Java Development,2023-04-04,2025-11-27,42%,ODI,"Localisation: Tours, Nom: Michael Davis, Compétences: Java Development, Mission en cours: Owens-Hall, Date de début de mission: 2023-04-04, Date de fin de mission: 2025-11-27, Taux d'occupation: 42%",62
Mtp,105,Expert,Seth Hall,"Moore, Thomas and Edwards",Cloud Computing,2024-04-27,2025-04-25,61%,SSIS,"Localisation: Mtp, Nom: Seth Hall, Compétences: Cloud Computing, Mission en cours: Moore, Thomas and Edwards, Date de début de mission: 2024-04-27, Date de fin de mission: 2025-04-25, Taux d'occupation: 61%",65
Paris,150,Expert,Phillip Marshall,"York, Black and Hawkins",Machine Learning,2022-07-25,2025-02-27,83%,MSBI,"Localisation: Paris, Nom: Phillip Marshall, Compétences: Machine Learning, Mission en cours: York, Black and Hawkins, Date de début de mission: 2022-07-25, Date de fin de mission: 2025-02-27, Taux d'occupation: 83%",64
Mtp,150,Junior,Michael Williams,"Cooper, Parker and Lopez",Python Development,2024-04-12,2025-08-01,39%,TALEND,"Localisation: Mtp, Nom: Michael Williams, Compétences: Python Development, Mission en cours: Cooper, Parker and Lopez, Date de début de mission: 2024-04-12, Date de fin de mission: 2025-08-01, Taux d'occupation: 39%",65
Paris,170,Expert,Sonya Baker,"Chandler, Pearson and Griffith",Cybersecurity,2024-03-10,2026-03-26,14%,MSBI,"Localisation: Paris, Nom: Sonya Baker, Compétences: Cybersecurity, Mission en cours: Chandler, Pearson and Griffith, Date de début de mission: 2024-03-10, Date de fin de mission: 2026-03-26, Taux d'occupation: 14%",65
Paris,170,Expert,Tyler Chavez,Phillips-Silva,Cloud Computing,2024-03-05,2025-06-26,31%,TALEND,"Localisation: Paris, Nom: Tyler Chavez, Compétences: Cloud Computing, Mission en cours: Phillips-Silva, Date de début de mission: 2024-03-05, Date de fin de mission: 2025-06-26, Taux d'occupation: 31%",63
Paris,115,Junior,Anna West,Hayden-George,DevOps,2023-12-07,2025-03-08,23%,MSBI,"Localisation: Paris, Nom: Anna West, Compétences: DevOps, Mission en cours: Hayden-George, Date de début de mission: 2023-12-07, Date de fin de mission: 2025-03-08, Taux d'occupation: 23%",62
Mtp,105,Junior,Aaron Adams,Martin-Valdez,Business Analysis,2023-12-04,2024-09-11,11%,SSIS,"Localisation: Mtp, Nom: Aaron Adams, Compétences: Business Analysis, Mission en cours: Martin-Valdez, Date de début de mission: 2023-12-04, Date de fin de mission: 2024-09-11, Taux d'occupation: 11%",64
Mtp,100,Confirmé,Megan Cole,Golden-Chan,Cloud Computing,2023-04-27,2025-09-12,79%,DSIA,"Localisation: Mtp, Nom: Megan Cole, Compétences: Cloud Computing, Mission en cours: Golden-Chan, Date de début de mission: 2023-04-27, Date de fin de mission: 2025-09-12, Taux d'occupation: 79%",63
Tours,115,Confirmé,Jeremy Reilly,"Phillips, Nielsen and Mercado",IT Support,2023-06-15,2025-07-13,37%,SSIS,"Localisation: Tours, Nom: Jeremy Reilly, Compétences: IT Support, Mission en cours: Phillips, Nielsen and Mercado, Date de début de mission: 2023-06-15, Date de fin de mission: 2025-07-13, Taux d'occupation: 37%",66
Paris,115,Expert,Jennifer Lane,Hernandez-Morse,Web Development,2022-10-09,2025-04-02,64%,DSIA,"Localisation: Paris, Nom: Jennifer Lane, Compétences: Web Development, Mission en cours: Hernandez-Morse, Date de début de mission: 2022-10-09, Date de fin de mission: 2025-04-02, Taux d'occupation: 64%",62
Paris,150,Expert,Tina Welch,Houston Ltd,Project Management,2024-03-25,2025-10-29,11%,TALEND,"Localisation: Paris, Nom: Tina Welch, Compétences: Project Management, Mission en cours: Houston Ltd, Date de début de mission: 2024-03-25, Date de fin de mission: 2025-10-29, Taux d'occupation: 11%",61
Paris,150,Expert,Eric Logan,Brown-Schneider,Mobile Development,2024-02-12,2025-01-20,16%,DSIA,"Localisation: Paris, Nom: Eric Logan, Compétences: Mobile Development, Mission en cours: Brown-Schneider, Date de début de mission: 2024-02-12, Date de fin de mission: 2025-01-20, Taux d'occupation: 16%",63
Paris,100,Junior,Jessica Wilkerson,"Sanchez, Lopez and Lambert",Mobile Development,2023-07-13,2024-06-17,20%,DSIA,"Localisation: Paris, Nom: Jessica Wilkerson, Compétences: Mobile Development, Mission en cours: Sanchez, Lopez and Lambert, Date de début de mission: 2023-07-13, Date de fin de mission: 2024-06-17, Taux d'occupation: 20%",66
Paris,115,Confirmé,Jon Dickerson,"Martinez, Lawrence and Lawrence",Java Development,2024-04-10,2026-04-23,30%,MSBI,"Localisation: Paris, Nom: Jon Dickerson, Compétences: Java Development, Mission en cours: Martinez, Lawrence and Lawrence, Date de début de mission: 2024-04-10, Date de fin de mission: 2026-04-23, Taux d'occupation: 30%",65
Paris,115,Junior,Mariah Davis,Powell and Sons,Database Management,2024-06-11,2025-01-15,48%,MSBI,"Localisation: Paris, Nom: Mariah Davis, Compétences: Database Management, Mission en cours: Powell and Sons, Date de début de mission: 2024-06-11, Date de fin de mission: 2025-01-15, Taux d'occupation: 48%",63
Paris,150,Expert,Whitney Whitehead,Wright-Johnson,Network Administration,2022-07-17,2025-01-04,21%,MSBI,"Localisation: Paris, Nom: Whitney Whitehead, Compétences: Network Administration, Mission en cours: Wright-Johnson, Date de début de mission: 2022-07-17, Date de fin de mission: 2025-01-04, Taux d'occupation: 21%",64
Tours,105,Confirmé,Melissa Moore,Armstrong PLC,Mobile Development,2023-04-03,2025-08-21,80%,TALEND,"Localisation: Tours, Nom: Melissa Moore, Compétences: Mobile Development, Mission en cours: Armstrong PLC, Date de début de mission: 2023-04-03, Date de fin de mission: 2025-08-21, Taux d'occupation: 80%",61
Mtp,170,Junior,Andrew Owen,"Smith, Gibson and Burns",IT Support,2023-09-22,2025-06-19,50%,MSBI,"Localisation: Mtp, Nom: Andrew Owen, Compétences: IT Support, Mission en cours: Smith, Gibson and Burns, Date de début de mission: 2023-09-22, Date de fin de mission: 2025-06-19, Taux d'occupation: 50%",65
Mtp,100,Expert,Lawrence Anderson,"Bridges, Mcdonald and Miles",Business Analysis,2023-08-24,2024-10-07,72%,TALEND,"Localisation: Mtp, Nom: Lawrence Anderson, Compétences: Business Analysis, Mission en cours: Bridges, Mcdonald and Miles, Date de début de mission: 2023-08-24, Date de fin de mission: 2024-10-07, Taux d'occupation: 72%",67
Tours,115,Confirmé,Kelly Gomez,Lee-Gonzalez,Database Management,2023-10-10,2025-12-16,95%,MSBI,"Localisation: Tours, Nom: Kelly Gomez, Compétences: Database Management, Mission en cours: Lee-Gonzalez, Date de début de mission: 2023-10-10, Date de fin de mission: 2025-12-16, Taux d'occupation: 95%",63
Mtp,150,Confirmé,Mrs. Holly Curry,"Porter, Reynolds and Smith",Project Management,2023-01-25,2025-02-09,10%,TALEND,"Localisation: Mtp, Nom: Mrs. Holly Curry, Compétences: Project Management, Mission en cours: Porter, Reynolds and Smith, Date de début de mission: 2023-01-25, Date de fin de mission: 2025-02-09, Taux d'occupation: 10%",67
Paris,100,Junior,Tara Rodriguez,Mitchell-Armstrong,Cloud Computing,2024-01-08,2024-06-26,69%,DSIA,"Localisation: Paris, Nom: Tara Rodriguez, Compétences: Cloud Computing, Mission en cours: Mitchell-Armstrong, Date de début de mission: 2024-01-08, Date de fin de mission: 2024-06-26, Taux d'occupation: 69%",63
Mtp,170,Confirmé,Nicole Arnold,"Stein, Wilson and Sanchez",Network Administration,2022-11-06,2024-12-07,47%,DSIA,"Localisation: Mtp, Nom: Nicole Arnold, Compétences: Network Administration, Mission en cours: Stein, Wilson and Sanchez, Date de début de mission: 2022-11-06, Date de fin de mission: 2024-12-07, Taux d'occupation: 47%",65
Tours,150,Junior,Margaret Hernandez,"Hughes, Hernandez and Pugh",Project Management,2024-06-10,2025-09-27,41%,SSIS,"Localisation: Tours, Nom: Margaret Hernandez, Compétences: Project Management, Mission en cours: Hughes, Hernandez and Pugh, Date de début de mission: 2024-06-10, Date de fin de mission: 2025-09-27, Taux d'occupation: 41%",65
Mtp,150,Junior,Andrea Edwards,"Anderson, Woods and Graham",Java Development,2024-01-11,2025-05-21,15%,ODI,"Localisation: Mtp, Nom: Andrea Edwards, Compétences: Java Development, Mission en cours: Anderson, Woods and Graham, Date de début de mission: 2024-01-11, Date de fin de mission: 2025-05-21, Taux d'occupation: 15%",65
Tours,115,Junior,Teresa Watkins,Matthews PLC,Software Testing,2023-02-14,2024-08-16,72%,MSBI,"Localisation: Tours, Nom: Teresa Watkins, Compétences: Software Testing, Mission en cours: Matthews PLC, Date de début de mission: 2023-02-14, Date de fin de mission: 2024-08-16, Taux d'occupation: 72%",61
Paris,170,Expert,Christopher Pope,Bailey-Cole,Data Analysis,2022-07-07,2025-06-18,39%,TALEND,"Localisation: Paris, Nom: Christopher Pope, Compétences: Data Analysis, Mission en cours: Bailey-Cole, Date de début de mission: 2022-07-07, Date de fin de mission: 2025-06-18, Taux d'occupation: 39%",62
Tours,150,Junior,Richard Holland,Foley Ltd,Network Administration,2022-12-13,2025-12-05,72%,MSBI,"Localisation: Tours, Nom: Richard Holland, Compétences: Network Administration, Mission en cours: Foley Ltd, Date de début de mission: 2022-12-13, Date de fin de mission: 2025-12-05, Taux d'occupation: 72%",61
Paris,170,Expert,Troy Erickson,"Spencer, Daniels and Dudley",Cloud Computing,2022-07-02,2026-03-29,25%,ODI,"Localisation: Paris, Nom: Troy Erickson, Compétences: Cloud Computing, Mission en cours: Spencer, Daniels and Dudley, Date de début de mission: 2022-07-02, Date de fin de mission: 2026-03-29, Taux d'occupation: 25%",65
Paris,105,Confirmé,Gina Mccarthy,"Dixon, Santos and Berry",Python Development,2024-01-11,2026-05-17,86%,TALEND,"Localisation: Paris, Nom: Gina Mccarthy, Compétences: Python Development, Mission en cours: Dixon, Santos and Berry, Date de début de mission: 2024-01-11, Date de fin de mission: 2026-05-17, Taux d'occupation: 86%",67
Mtp,100,Expert,John Owens,Bauer LLC,Business Analysis,2023-12-23,2024-06-22,49%,MSBI,"Localisation: Mtp, Nom: John Owens, Compétences: Business Analysis, Mission en cours: Bauer LLC, Date de début de mission: 2023-12-23, Date de fin de mission: 2024-06-22, Taux d'occupation: 49%",62
Paris,150,Junior,Mason Hall,"Weber, Andrade and Gregory",Python Development,2022-09-05,2024-10-15,57%,TALEND,"Localisation: Paris, Nom: Mason Hall, Compétences: Python Development, Mission en cours: Weber, Andrade and Gregory, Date de début de mission: 2022-09-05, Date de fin de mission: 2024-10-15, Taux d'occupation: 57%",65
Tours,105,Expert,Anthony Woodard,Roberts-Fleming,IT Support,2023-10-02,2025-09-07,39%,SSIS,"Localisation: Tours, Nom: Anthony Woodard, Compétences: IT Support, Mission en cours: Roberts-Fleming, Date de début de mission: 2023-10-02, Date de fin de mission: 2025-09-07, Taux d'occupation: 39%",64
Mtp,105,Confirmé,Michael Harris,Anderson-Barnes,Python Development,2024-04-29,2024-10-29,37%,SSIS,"Localisation: Mtp, Nom: Michael Harris, Compétences: Python Development, Mission en cours: Anderson-Barnes, Date de début de mission: 2024-04-29, Date de fin de mission: 2024-10-29, Taux d'occupation: 37%",64
Mtp,105,Confirmé,George Evans,"Casey, Maxwell and Chavez",DevOps,2022-06-29,2025-07-06,90%,SSIS,"Localisation: Mtp, Nom: George Evans, Compétences: DevOps, Mission en cours: Casey, Maxwell and Chavez, Date de début de mission: 2022-06-29, Date de fin de mission: 2025-07-06, Taux d'occupation: 90%",65
Paris,115,Junior,Russell Marshall,Sanford Ltd,Software Testing,2024-05-10,2024-09-11,28%,SSIS,"Localisation: Paris, Nom: Russell Marshall, Compétences: Software Testing, Mission en cours: Sanford Ltd, Date de début de mission: 2024-05-10, Date de fin de mission: 2024-09-11, Taux d'occupation: 28%",61
Paris,170,Confirmé,Lisa Miller,"Allen, Dunn and Miller",Project Management,2024-01-05,2025-02-04,72%,TALEND,"Localisation: Paris, Nom: Lisa Miller, Compétences: Project Management, Mission en cours: Allen, Dunn and Miller, Date de début de mission: 2024-01-05, Date de fin de mission: 2025-02-04, Taux d'occupation: 72%",64
Tours,170,Junior,Cynthia Lawson,"Coleman, Lowe and White",Project Management,2023-11-20,2025-01-11,31%,ODI,"Localisation: Tours, Nom: Cynthia Lawson, Compétences: Project Management, Mission en cours: Coleman, Lowe and White, Date de début de mission: 2023-11-20, Date de fin de mission: 2025-01-11, Taux d'occupation: 31%",64
Mtp,115,Junior,Thomas Bailey,Collins-Jones,Machine Learning,2024-04-02,2024-08-26,83%,TALEND,"Localisation: Mtp, Nom: Thomas Bailey, Compétences: Machine Learning, Mission en cours: Collins-Jones, Date de début de mission: 2024-04-02, Date de fin de mission: 2024-08-26, Taux d'occupation: 83%",63
Paris,105,Expert,Kevin Oneill,Newton-Velasquez,DevOps,2023-11-15,2025-12-16,68%,SSIS,"Localisation: Paris, Nom: Kevin Oneill, Compétences: DevOps, Mission en cours: Newton-Velasquez, Date de début de mission: 2023-11-15, Date de fin de mission: 2025-12-16, Taux d'occupation: 68%",64
Tours,105,Confirmé,Janet Rocha,Mccarthy Ltd,Java Development,2022-07-27,2026-01-25,51%,TALEND,"Localisation: Tours, Nom: Janet Rocha, Compétences: Java Development, Mission en cours: Mccarthy Ltd, Date de début de mission: 2022-07-27, Date de fin de mission: 2026-01-25, Taux d'occupation: 51%",65
Paris,115,Expert,Melissa Scott MD,Martinez-White,Business Analysis,2024-06-08,2025-09-02,24%,MSBI,"Localisation: Paris, Nom: Melissa Scott MD, Compétences: Business Analysis, Mission en cours: Martinez-White, Date de début de mission: 2024-06-08, Date de fin de mission: 2025-09-02, Taux d'occupation: 24%",63
Paris,115,Expert,Whitney Smith,Harris Inc,Database Management,2023-11-05,2025-10-09,93%,SSIS,"Localisation: Paris, Nom: Whitney Smith, Compétences: Database Management, Mission en cours: Harris Inc, Date de début de mission: 2023-11-05, Date de fin de mission: 2025-10-09, Taux d'occupation: 93%",61
Tours,105,Junior,Nancy Hernandez,Martinez and Sons,Software Testing,2023-03-28,2025-03-07,77%,ODI,"Localisation: Tours, Nom: Nancy Hernandez, Compétences: Software Testing, Mission en cours: Martinez and Sons, Date de début de mission: 2023-03-28, Date de fin de mission: 2025-03-07, Taux d'occupation: 77%",62
Paris,105,Junior,Trevor Preston,"Johnson, Cruz and Brown",Mobile Development,2023-04-18,2024-07-01,69%,DSIA,"Localisation: Paris, Nom: Trevor Preston, Compétences: Mobile Development, Mission en cours: Johnson, Cruz and Brown, Date de début de mission: 2023-04-18, Date de fin de mission: 2024-07-01, Taux d'occupation: 69%",64
Mtp,105,Confirmé,Marc Cordova,"Jones, Cantrell and Russell",Network Administration,2024-01-02,2024-11-12,93%,DSIA,"Localisation: Mtp, Nom: Marc Cordova, Compétences: Network Administration, Mission en cours: Jones, Cantrell and Russell, Date de début de mission: 2024-01-02, Date de fin de mission: 2024-11-12, Taux d'occupation: 93%",67
Tours,170,Expert,Andrew Mcclure,"Carter, Johnson and Cohen",Database Management,2023-05-03,2025-05-17,98%,DSIA,"Localisation: Tours, Nom: Andrew Mcclure, Compétences: Database Management, Mission en cours: Carter, Johnson and Cohen, Date de début de mission: 2023-05-03, Date de fin de mission: 2025-05-17, Taux d'occupation: 98%",66
Tours,170,Junior,Lori Harper MD,Gallagher LLC,Cloud Computing,2022-08-28,2025-04-03,61%,TALEND,"Localisation: Tours, Nom: Lori Harper MD, Compétences: Cloud Computing, Mission en cours: Gallagher LLC, Date de début de mission: 2022-08-28, Date de fin de mission: 2025-04-03, Taux d'occupation: 61%",62
Tours,150,Junior,Patricia Garcia,Adams-Henry,Mobile Development,2023-11-27,2026-03-19,53%,TALEND,"Localisation: Tours, Nom: Patricia Garcia, Compétences: Mobile Development, Mission en cours: Adams-Henry, Date de début de mission: 2023-11-27, Date de fin de mission: 2026-03-19, Taux d'occupation: 53%",63
Mtp,150,Confirmé,Dennis Roth,"Curtis, Ball and Thompson",DevOps,2024-02-21,2025-10-02,24%,TALEND,"Localisation: Mtp, Nom: Dennis Roth, Compétences: DevOps, Mission en cours: Curtis, Ball and Thompson, Date de début de mission: 2024-02-21, Date de fin de mission: 2025-10-02, Taux d'occupation: 24%",65
Tours,105,Expert,Jill Gonzalez,"Johnson, Lawson and French",Database Management,2022-10-24,2025-10-13,14%,MSBI,"Localisation: Tours, Nom: Jill Gonzalez, Compétences: Database Management, Mission en cours: Johnson, Lawson and French, Date de début de mission: 2022-10-24, Date de fin de mission: 2025-10-13, Taux d'occupation: 14%",64
Paris,100,Junior,Brooke Hanna,Hill-Hill,Cloud Computing,2022-08-27,2025-01-14,25%,SSIS,"Localisation: Paris, Nom: Brooke Hanna, Compétences: Cloud Computing, Mission en cours: Hill-Hill, Date de début de mission: 2022-08-27, Date de fin de mission: 2025-01-14, Taux d'occupation: 25%",62
Tours,150,Junior,Marvin Taylor,"Cross, Price and Knight",Mobile Development,2023-03-24,2024-11-19,64%,SSIS,"Localisation: Tours, Nom: Marvin Taylor, Compétences: Mobile Development, Mission en cours: Cross, Price and Knight, Date de début de mission: 2023-03-24, Date de fin de mission: 2024-11-19, Taux d'occupation: 64%",64
Paris,105,Expert,Jane Martinez,Johnston-Ryan,Cybersecurity,2023-05-12,2024-11-04,82%,DSIA,"Localisation: Paris, Nom: Jane Martinez, Compétences: Cybersecurity, Mission en cours: Johnston-Ryan, Date de début de mission: 2023-05-12, Date de fin de mission: 2024-11-04, Taux d'occupation: 82%",62
Mtp,100,Confirmé,Kathy Lynch,Scott LLC,DevOps,2022-09-08,2025-06-03,28%,MSBI,"Localisation: Mtp, Nom: Kathy Lynch, Compétences: DevOps, Mission en cours: Scott LLC, Date de début de mission: 2022-09-08, Date de fin de mission: 2025-06-03, Taux d'occupation: 28%",62
Paris,170,Expert,Mrs. Teresa Vargas MD,Hendricks-Johnson,Java Development,2023-08-20,2024-07-21,64%,TALEND,"Localisation: Paris, Nom: Mrs. Teresa Vargas MD, Compétences: Java Development, Mission en cours: Hendricks-Johnson, Date de début de mission: 2023-08-20, Date de fin de mission: 2024-07-21, Taux d'occupation: 64%",68
Tours,150,Junior,Daniel Poole,Wang-Jenkins,Cybersecurity,2024-03-04,2024-10-26,43%,ODI,"Localisation: Tours, Nom: Daniel Poole, Compétences: Cybersecurity, Mission en cours: Wang-Jenkins, Date de début de mission: 2024-03-04, Date de fin de mission: 2024-10-26, Taux d'occupation: 43%",63
Mtp,115,Confirmé,Paige Villanueva,Rosales-Baker,DevOps,2023-05-13,2025-07-03,85%,TALEND,"Localisation: Mtp, Nom: Paige Villanueva, Compétences: DevOps, Mission en cours: Rosales-Baker, Date de début de mission: 2023-05-13, Date de fin de mission: 2025-07-03, Taux d'occupation: 85%",66
Mtp,100,Confirmé,Christian Tucker,Lamb and Sons,IT Support,2024-05-19,2026-04-04,25%,TALEND,"Localisation: Mtp, Nom: Christian Tucker, Compétences: IT Support, Mission en cours: Lamb and Sons, Date de début de mission: 2024-05-19, Date de fin de mission: 2026-04-04, Taux d'occupation: 25%",63
Paris,115,Expert,Megan Rogers,Velazquez-Ramirez,DevOps,2023-12-18,2025-10-14,34%,TALEND,"Localisation: Paris, Nom: Megan Rogers, Compétences: DevOps, Mission en cours: Velazquez-Ramirez, Date de début de mission: 2023-12-18, Date de fin de mission: 2025-10-14, Taux d'occupation: 34%",65
Paris,170,Junior,Sharon Tapia,Howell Inc,Software Testing,2024-02-21,2024-08-10,10%,ODI,"Localisation: Paris, Nom: Sharon Tapia, Compétences: Software Testing, Mission en cours: Howell Inc, Date de début de mission: 2024-02-21, Date de fin de mission: 2024-08-10, Taux d'occupation: 10%",62
Tours,115,Expert,Rebecca Briggs,"Knight, Gibbs and Woods",Project Management,2023-02-04,2024-09-09,28%,DSIA,"Localisation: Tours, Nom: Rebecca Briggs, Compétences: Project Management, Mission en cours: Knight, Gibbs and Woods, Date de début de mission: 2023-02-04, Date de fin de mission: 2024-09-09, Taux d'occupation: 28%",64
Mtp,105,Expert,Dean Williams,"Rich, Carney and Bright",Project Management,2023-02-26,2025-10-11,94%,ODI,"Localisation: Mtp, Nom: Dean Williams, Compétences: Project Management, Mission en cours: Rich, Carney and Bright, Date de début de mission: 2023-02-26, Date de fin de mission: 2025-10-11, Taux d'occupation: 94%",66
Mtp,100,Expert,Steven Andrade,"Miller, Davis and Floyd",Mobile Development,2024-04-02,2026-02-11,46%,SSIS,"Localisation: Mtp, Nom: Steven Andrade, Compétences: Mobile Development, Mission en cours: Miller, Davis and Floyd, Date de début de mission: 2024-04-02, Date de fin de mission: 2026-02-11, Taux d'occupation: 46%",66
Paris,115,Confirmé,Alison Clark,Stevenson LLC,Data Analysis,2022-09-28,2025-04-10,89%,DSIA,"Localisation: Paris, Nom: Alison Clark, Compétences: Data Analysis, Mission en cours: Stevenson LLC, Date de début de mission: 2022-09-28, Date de fin de mission: 2025-04-10, Taux d'occupation: 89%",61
Paris,115,Junior,Frank Freeman,"Dougherty, Harrington and Ibarra",Cybersecurity,2024-06-04,2025-03-31,59%,MSBI,"Localisation: Paris, Nom: Frank Freeman, Compétences: Cybersecurity, Mission en cours: Dougherty, Harrington and Ibarra, Date de début de mission: 2024-06-04, Date de fin de mission: 2025-03-31, Taux d'occupation: 59%",68
Paris,105,Confirmé,Michelle Valdez,"Lewis, Ortega and Robinson",Data Analysis,2023-06-16,2025-05-05,80%,ODI,"Localisation: Paris, Nom: Michelle Valdez, Compétences: Data Analysis, Mission en cours: Lewis, Ortega and Robinson, Date de début de mission: 2023-06-16, Date de fin de mission: 2025-05-05, Taux d'occupation: 80%",66
Tours,115,Junior,Vanessa Meyer,Gibbs Inc,Software Testing,2022-11-12,2026-05-25,75%,SSIS,"Localisation: Tours, Nom: Vanessa Meyer, Compétences: Software Testing, Mission en cours: Gibbs Inc, Date de début de mission: 2022-11-12, Date de fin de mission: 2026-05-25, Taux d'occupation: 75%",61
Tours,105,Expert,Jasmine Peters,Buck Inc,Mobile Development,2022-11-11,2024-08-17,60%,TALEND,"Localisation: Tours, Nom: Jasmine Peters, Compétences: Mobile Development, Mission en cours: Buck Inc, Date de début de mission: 2022-11-11, Date de fin de mission: 2024-08-17, Taux d'occupation: 60%",61
Tours,115,Confirmé,Renee Leon,Miller-Miller,Mobile Development,2024-03-02,2026-02-09,27%,ODI,"Localisation: Tours, Nom: Renee Leon, Compétences: Mobile Development, Mission en cours: Miller-Miller, Date de début de mission: 2024-03-02, Date de fin de mission: 2026-02-09, Taux d'occupation: 27%",63
Mtp,150,Expert,Crystal Gutierrez,Davis Inc,Cybersecurity,2023-07-08,2024-09-19,62%,DSIA,"Localisation: Mtp, Nom: Crystal Gutierrez, Compétences: Cybersecurity, Mission en cours: Davis Inc, Date de début de mission: 2023-07-08, Date de fin de mission: 2024-09-19, Taux d'occupation: 62%",63
Tours,170,Confirmé,Carol Hill,Olsen-Bryan,Project Management,2022-09-03,2025-08-15,60%,ODI,"Localisation: Tours, Nom: Carol Hill, Compétences: Project Management, Mission en cours: Olsen-Bryan, Date de début de mission: 2022-09-03, Date de fin de mission: 2025-08-15, Taux d'occupation: 60%",62
Paris,150,Junior,Michael Peters,Potter-Kane,IT Support,2024-05-25,2025-08-04,19%,MSBI,"Localisation: Paris, Nom: Michael Peters, Compétences: IT Support, Mission en cours: Potter-Kane, Date de début de mission: 2024-05-25, Date de fin de mission: 2025-08-04, Taux d'occupation: 19%",62
Tours,100,Junior,Jordan Gutierrez,"Hoover, Marshall and Hill",Cybersecurity,2023-04-08,2024-12-06,75%,SSIS,"Localisation: Tours, Nom: Jordan Gutierrez, Compétences: Cybersecurity, Mission en cours: Hoover, Marshall and Hill, Date de début de mission: 2023-04-08, Date de fin de mission: 2024-12-06, Taux d'occupation: 75%",65
Mtp,170,Junior,Nancy Wise,Robbins-Mcdonald,Web Development,2024-01-04,2025-06-22,36%,MSBI,"Localisation: Mtp, Nom: Nancy Wise, Compétences: Web Development, Mission en cours: Robbins-Mcdonald, Date de début de mission: 2024-01-04, Date de fin de mission: 2025-06-22, Taux d'occupation: 36%",64
